serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strategy
1,NIFTY,NSENIFTY,,FUT,NSE,,INR,20160331,,,75,,1,SWING
2,NIFTY,NSENIFTY,,IND,NSE,,INR,,,,75,,1,SWING
3,ACC,ACC,,STK,NSE,,INR,,,,75,,1,SWING
4,ADANIPORT,ADANIPORTS,,STK,NSE,,INR,,,,75,,1,SWING
5,AMBUJACEM,AMBUJACEM,,STK,NSE,,INR,,,,375,,2,SWING
6,ASIANPAIN,ASIANPAINT,,STK,NSE,,INR,,,,2100,,2,SWING
7,AXISBANK,AXISBANK,,STK,NSE,,INR,,,,600,,2,SWING
8,BAJAJ-AUT,BAJAJ-AUTO,,STK,NSE,,INR,,,,1000,,2,SWING
9,BANKBAROD,BANKBARODA,,STK,NSE,,INR,,,,3100,,2,SWING
10,BHEL,BHEL,,STK,NSE,,INR,,,,1200,,2,SWING
11,BPCL,BPCL,,STK,NSE,,INR,,,,2000,,2,SWING
12,BHARTIART,BHARTIARTL,,STK,NSE,,INR,,,,600,,2,SWING
13,BOSCHLTD,BOSCHLTD,,STK,NSE,,INR,,,,3000,,2,SWING
14,CAIRN,CAIRN,,STK,NSE,,INR,,,,800,,2,SWING
15,CIPLA,CIPLA,,STK,NSE,,INR,,,,150,,2,SWING
16,COALINDIA,COALINDIA,,STK,NSE,,INR,,,,1400,,2,SWING
17,DRREDDY,DRREDDY,,STK,NSE,,INR,,,,150,,2,SWING
18,GAIL,GAIL,,STK,NSE,,INR,,,,600,,2,SWING
19,GRASIM,GRASIM,,STK,NSE,,INR,,,,400,,2,SWING
20,HCLTECH,HCLTECH,,STK,NSE,,INR,,,,500,,2,SWING
21,HDFCBANK,HDFCBANK,,STK,NSE,,INR,,,,5000,,2,SWING
22,HEROMOTOC,HEROMOTOCO,,STK,NSE,,INR,,,,600,,2,SWING
23,HINDALCO,HINDALCO,,STK,NSE,,INR,,,,1700,,2,SWING
24,HINDUNILV,HINDUNILVR,,STK,NSE,,INR,,,,3000,,2,SWING
25,HDFC,HDFC,,STK,NSE,,INR,,,,600,,2,SWING
26,ITC,ITC,,STK,NSE,,INR,,,,1600,,2,SWING
27,ICICIBANK,ICICIBANK,,STK,NSE,,INR,,,,700,,2,SWING
28,IDEA,IDEA,,STK,NSE,,INR,,,,300,,2,SWING
29,INDUSINDB,INDUSINDBK,,STK,NSE,,INR,,,,300,,2,SWING
30,INFY,INFY,,STK,NSE,,INR,,,,125,,2,SWING
31,KOTAKBANK,KOTAKBANK,,STK,NSE,,INR,,,,400,,2,SWING
32,LT,LT,,STK,NSE,,INR,,,,4000,,2,SWING
33,LUPIN,LUPIN,,STK,NSE,,INR,,,,2000,,2,SWING
34,MM,M&M,,STK,NSE,,INR,,,,4000,,2,SWING
35,MARUTI,MARUTI,,STK,NSE,,INR,,,,4000,,2,SWING
36,NTPC,NTPC,,STK,NSE,,INR,,,,500,,2,SWING
37,ONGC,ONGC,,STK,NSE,,INR,,,,2000,,2,SWING
38,POWERGRID,POWERGRID,,STK,NSE,,INR,,,,600,,2,SWING
39,PNB,PNB,,STK,NSE,,INR,,,,1500,,2,SWING
40,RELIANCE,RELIANCE,,STK,NSE,,INR,,,,8000,,2,SWING
41,SBIN,SBIN,,STK,NSE,,INR,,,,2000,,2,SWING
42,SUNPHARMA,SUNPHARMA,,STK,NSE,,INR,,,,200,,2,SWING
43,TCS,TCS,,STK,NSE,,INR,,,,1000,,2,SWING
44,TATAMOTOR,TATAMOTORS,,STK,NSE,,INR,,,,200,,2,SWING
45,TATAPOWER,TATAPOWER,,STK,NSE,,INR,,,,1000,,2,SWING
46,TATASTEEL,TATASTEEL,,STK,NSE,,INR,,,,700,,2,SWING
47,TECHM,TECHM,,STK,NSE,,INR,,,,1300,,2,SWING
48,ULTRACEMC,ULTRACEMCO,,STK,NSE,,INR,,,,375,,2,SWING
49,VEDL,VEDL,,STK,NSE,,INR,,,,2100,,2,SWING
50,WIPRO,WIPRO,,STK,NSE,,INR,,,,600,,2,SWING
51,YESBANK,YESBANK,,STK,NSE,,INR,,,,1000,,2,SWING
52,ZEEL,ZEEL,,STK,NSE,,INR,,,,3100,,2,SWING
